street_edge_id,region_id,x1,y1,x2,y2,geom
3163,"EJIDO LOS MORENO",-102.02533,20.3310971,-102.0253127,20.3314404,0102000020E6100000020000001AAB28B99E8159C0BB922E47D9543440E466B8019F8159C0EA4C90C7C2543440
3164,"EJIDO LOS MORENO",-102.0215656,20.3299468,-102.0215646,20.3302376,0102000020E61000000400000016F07C50618159C0D7E88B738A54344075406DAF608159C0D337C4D38654344093CC45D7608159C06808C72C7B543440FEADAE54618159C07B6BBB6477543440
3165,"EJIDO LOS MORENO",-102.0239799,20.3288691,-102.0243896,20.3288072,0102000020E610000002000000349765998F8159C078B06AB52C543440BA90FDE2888159C03A2AEDC330543440
3166,"EJIDO LOS MORENO",-102.0232504,20.3289708,-102.0239799,20.3288691,0102000020E610000002000000BA90FDE2888159C03A2AEDC3305434409CE73EEF7C8159C0C6562B6E37543440
3167,"EJIDO LOS MORENO",-102.0228925,20.3288711,-102.0232504,20.3289708,0102000020E6100000020000009CE73EEF7C8159C0C6562B6E37543440B7B41A12778159C07C197BE530543440
3168,"EJIDO LOS MORENO",-102.0221727,20.3286651,-102.0228925,20.3288711,0102000020E610000002000000B7B41A12778159C07C197BE5305434404C570B476B8159C029D65F6523543440
3169,"EJIDO LOS MORENO",-102.0228744,20.3292936,-102.0232282,20.3292701,0102000020E61000000200000014D621927C8159C0F70C970B4B5434409AFA2FC6768159C038C8DA954C543440
3170,"EJIDO LOS MORENO",-102.022402,20.3292952,-102.0228744,20.3292936,0102000020E6100000030000009AFA2FC6768159C038C8DA954C54344042BB9E43748159C0AE68CE554E5434405C57CC086F8159C0D3BAB2B04C543440
3171,"EJIDO LOS MORENO",-102.0228925,20.3288711,-102.0228744,20.3292936,0102000020E6100000030000009AFA2FC6768159C038C8DA954C5434402E8CF4A2768159C06C98A1F144543440B7B41A12778159C07C197BE530543440
3172,"EJIDO LOS MORENO",-102.0232602,20.3286486,-102.0239728,20.3285132,0102000020E61000000200000096FF35C5888159C0E74DEA7019543440199359187D8159C04EE08C5022543440
3173,"EJIDO LOS MORENO",-102.0227471,20.3284482,-102.0232602,20.3286486,0102000020E610000002000000199359187D8159C04EE08C50225434400CA540B0748159C0196E652E15543440
3174,"EJIDO LOS MORENO",-102.0225593,20.3284085,-102.0227471,20.3284482,0102000020E6100000020000000CA540B0748159C0196E652E155434401FEE8F9C718159C0793A579412543440
3175,"EJIDO LOS MORENO",-102.0214982,20.3281257,-102.0225593,20.3284085,0102000020E6100000020000001FEE8F9C718159C0793A579412543440107BFC39608159C0247ABE0B00543440
3176,"EJIDO LOS MORENO",-102.0227471,20.3284482,-102.0232756,20.3282263,0102000020E610000003000000DE32F1587D8159C0E52F88A3065434408EAED2DD758159C0F78F85E8105434400CA540B0748159C0196E652E15543440
3177,"EJIDO LOS MORENO",-102.0214793,20.3277233,-102.0232876,20.3278134,0102000020E610000002000000C019468B7D8159C0C9303894EB5334409FC2B6EA5F8159C01FA397ACE5533440
3178,"EJIDO LOS MORENO",-102.0218119,20.3274239,-102.0233033,20.3275172,0102000020E610000002000000E3D81FCD7D8159C0A3E0CE2AD8533440794ABD5D658159C0C46D7E0DD2533440
3179,"EJIDO LOS MORENO",-102.0263615,20.327987,-102.02637286125109,20.327988026243073,0102000020E610000002000000D324CC17B08159C08F31F605F7533440E71725E8AF8159C05E83BEF4F6533440
3180,"EJIDO LOS MORENO",-102.0232709,20.3284504,-102.0243482,20.3281407,0102000020E610000002000000DBADC0EB8E8159C08EFC660701543440B49C3A457D8159C0AE5B4E5315543440
3181,"EJIDO LOS MORENO",-102.0252461,20.3278883,-102.0263615,20.327987,0102000020E610000002000000E71725E8AF8159C05E83BEF4F65334408076D1A19D8159C0B53DD57CF0533440
3182,"EJIDO LOS MORENO",-102.0243482,20.3281407,-102.0252461,20.3278883,0102000020E6100000020000008076D1A19D8159C0B53DD57CF0533440DBADC0EB8E8159C08EFC660701543440
3183,"EJIDO LOS MORENO",-102.0263596,20.3275537,-102.02639203841233,20.327555875474598,0102000020E610000002000000C4763B68B08159C0ABC6ACB3DA533440E2FB2CE0AF8159C00D2F2D8FDA533440
3184,"EJIDO LOS MORENO",-102.0251928,20.3275611,-102.0263596,20.3275537,0102000020E610000003000000E2FB2CE0AF8159C00D2F2D8FDA5334402C8F7FB09D8159C0214A6A57D75334400F0643C29C8159C019F1530BDB533440
